Description,Domains,IPR_ID,Pfam_ID,Notes,Alt,AQ,CI,HM,NV,SM,CG,LG,CT,HR,CE,DM,SP,BF,DR,GG,MM,HS
domains involved in signal transduction,PKC-C1,IPR002219,PF00130,"protein kinase C, C1 domain ",,33,43,26,38,21,26,17,26,39,35,31,32,25,60,46,64,66
domains involved in signal transduction,PKC-C2,IPR000008,PF00168,Protein kinase C conserved region 2 (CalB),,41,88,71,105,41,72,56,76,81,47,44,87,98,133,109,129,138
domains involved in signal transduction,Rho,IPR003578,N/A,"Ras small GTPase, Rho type",,119,78,77,61,9,118,67,92,71,13,31,97,15,65,64,91,76
domains involved in signal transduction,Ras,IPR003577,N/A,"Ras small GTPase, Ras type",IPR020849,129,76,91,64,5,130,76,102,81,16,34,112,18,59,68,99,87
domains involved in signal transduction,Rab,IPR003579,N/A,"Ras small GTPase, Rab type",,159,84,116,85,22,146,90,116,94,35,48,138,40,98,84,123,110
domains involved in signal transduction,ARF,IPR006689,PF00025,ARF/SAR superfamily,,26,27,18,26,12,38,20,23,17,14,13,24,21,41,25,30,33
domains involved in signal transduction,zf-B_box,IPR000315,PF00643,"Zinc finger, B-box",,270,11,12,87,9,631,43,29,35,21,8,382,240,138,38,65,88
domains involved in signal transduction,ZF_TRAF,IPR001293,"PF02176,PF15965","Zinc finger, TRAF-type",,190,5,20,26,2,16,8,9,4,2,2,10,15,15,9,11,12
domains involved in signal transduction,IRF,IPR001346,PF00605,Interferon regulatory factor,,2,6,4,5,1,4,1,3,5,0,0,2,10,11,8,9,9
domains involved in signal transduction,ARM-type_fold,IPR016024,N/A,Armadillo-type fold,,246,323,219,230,115,251,183,213,160,143,0,0,236,212,251,291,299
domains involved in signal transduction,KAZAL,IPR002350,"PF00050,PF07648","Proteinase inhibitor I1, Kazal",,5,18,24,47,3,38,16,9,14,4,26,26,46,27,30,42,41
domains involved in signal transduction,KUNITZ,IPR002223,PF00014,"Proteinase inhibitor I3, Kunitz legume",,13,7,14,20,12,27,12,39,9,38,26,8,17,15,13,20,19
domains involved in signal transduction,serpin,IPR000215,N/A,"Protease inhibitor I4, serpin",,0,8,2,4,8,9,7,5,16,14,30,13,6,23,26,64,36
